id;acctno;name;address;address_2;city;state;zip;phone;i_type;etin;del_status;created_by;last_modified_by;created_date;last_modified_date
248;I001773;MEDSTAR SELECT;PO BOX 1200;;PITTSBURG;PA;15230;;;;false;system;system;now();now()
249;PHG001;PEARL HOLDING GROUP;PO BOX 452799;;SUNRISE;FL;33345;;;;false;system;system;now();now()
250;I000013;PASSPORT HEALTH;P.O. BOX 7114;;LONDON;KY;40742;;;;false;system;system;now();now()
251;I000009;FLORIDA MEDICAID;;;;;;;;;false;system;system;now();now()
252;I000014;BC/BS ANTHEM;;;ATLANTA;GA;;;;;false;system;system;now();now()
253;I000012;CELTICARE;P.O. BOX 3080;;FARMINGTON;MO;63640;;;;false;system;system;now();now()
254;I000006;EMPIRE BLUE CROSS BLUE SH;P.O. BOX 1407;CHURCH STREET STATION;NEW YORK;NY;100081407;;;;false;system;system;now();now()
255;I000018;PAI;16729 RISING STAR DRIVE;;CLERMONT;FL;34714;;;;false;system;system;now();now()
256;I000019;Unitedhealth Integrated Services;P.O. BOX 30783;;SALT LAKE CITY;UT;84300;;;;false;system;system;now();now()
257;I000020;MVP SELECT CARE;P.O. BOX 2207;;SCHENECTADY;NY;12301;;;;false;system;system;now();now()
258;I000021;CARE SOURCE;PO BOX 8738;;DAYTON;OH;45401;;;;false;system;system;now();now()
259;I000022;PREMERA;PO BOX 91059;;SEATTLE;WA;98111-915;;;;false;system;system;now();now()
260;I000023;HEALTH ALLIANCE;206 W. Anthony Dr.;;Champaign;IL;61822;;;;false;system;system;now();now()
261;I000027;KENTUCKY UNBRIDLED SPIRIT ;P.O. BOX 2106;;FRANKFORT;KY;40602;;;;false;system;system;now();now()
262;I000028;COVENTRYCARES OF KENTUCKY;P O Box 7812 ;;London;KY;40742;;;;false;system;system;now();now()
263;I000029;HUMANA CARESOURCE;P.O BOX 824;;DAYTON;OH;45401-082;;;;false;system;system;now();now()
264;I000031;AARP-UNITED HEALTHCARE PLANS;;;KINGSTON ;NY;12402;;;;false;system;system;now();now()
265;I000032;SEDGWICK CMS;;;;;;;;;false;system;system;now();now()
266;I000033;HARTFORD INSURANCE;PO BOX 14187;;LEXINGTON;KY;40512;;;;false;system;system;now();now()
267;I000035;AARP-UNITED HEALTHCARE PL;;;;;;;;;false;system;system;now();now()
268;I000036;COMP OPTIONS ;PO BOX 310719;;BOCA RATON ;FL;33431;;;;false;system;system;now();now()
269;I000037;ALTERNATIVE HEALTH CONCEPTS ;PO BOX 547097;;ORLANDO;FL;32854;;;;false;system;system;now();now()
270;I000041;LAND OF LINCOLN;PO BOX 618357;;CHICAGO ;IL;60661;;;;false;system;system;now();now()
271;I000042;SUNSHINE STATE HEALTH PLAN ;PO BOX 3070;;FARMINGTON;MO;63640;;;;false;system;system;now();now()
272;I000044;NAVIGATORS INSURANCE;1375 E WOODFIELD ROAD; SUITE 720;;SCHAUMBURG;IL;60173;;;false;system;system;now();now()
273;I000046;BCBS of Kentucky;P.O Box 105557;;Atlanta;GA;303485557;;;;false;system;system;now();now()
274;I000047;HUMANA GOLD PLUS;P.O. BOX 14601;;LEXINGTON;KY;40512-460;;;;false;system;system;now();now()
275;I000048;SUNSHINE HEALTH;;;;;;;;;false;system;system;now();now()
276;I000050;FLORIDA BCBS MEDICARE;P.O. Box 1798;;JacksonvillE ;FL;32231-001;;;;false;system;system;now();now()
277;I000051;NATIONAL ASSOCIATION OF LETTER CARRIERS ;PO BOX 18804;;CHATTANOOGA ;TN;37422;;;;false;system;system;now();now()
278;I000052;TRAVELERS INSURANCE;PO BOX 173762;;DENVER ;CO;80217;;;;false;system;system;now();now()
279;I000053;CNA INSURANCE ;PO BOX 8317;;CHICAGO;IL;60680;;;;false;system;system;now();now()
280;I000055;ACE USA;PO BOX 6560;;SCRANTON ;PA;18505;;;;false;system;system;now();now()
281;I000056;CHARTIS;PO BOX 1822;;ALPHARETTA;GA;30023;;;;false;system;system;now();now()
282;I000057;GALLAGHER BASSETT;PO BOX 23812;;TUCSON ;AZ;85734;;;;false;system;system;now();now()
283;I000058;GREAT WEST HEALTH CARE (CIGNA);PO BOX 188061;;CHATTANOOGA;TN;37422-806;;;;false;system;system;now();now()
284;I000065;KY FARM BUREAU;PO BOX 20400;;LOUISVILLE;KY;402500400;;;;false;system;system;now();now()
285;I000067;Blue Cross Blue Shield Of Alabama;450 Riverchase Parkway east;;Birmingham;AL;35244;;;;false;system;system;now();now()
286;I000068;PMA;PO BOX 5231;;JANESVILLE;WI;53547;;;;false;system;system;now();now()
287;I000071;BANKERS LIFE AND CASUALTY COMPANY;PO BOX 66927 ;;CHICAGO ;IL;60666-092;;;;false;system;system;now();now()
288;I000073;PRESTIGE HEALTH CHOICE;P.O BOX 7367 ;;LONDON;KY;40742;;;;false;system;system;now();now()
289;I000081;EHP;6704 Curtis Court;;Glen Burnie;MD;21060;;;;false;system;system;now();now()
290;I000083;NETWORK HEALTH;P.O. BOX 568;;MENASHA;WI;54952;;;;false;system;system;now();now()
291;I000087;HEALTH PLANS INC;;;;;;;;;false;system;system;now();now()
292;10;Local BCBS;;;;;;;;;false;system;system;now();now()
293;I000090;TOTAL CLAIMS ADMINISTRATION INC.;P.O. BOX 21128;;Fort Lauderdale;FL;33335;;;;false;system;system;now();now()
294;I000091;PLANNED ADMINISTRATORS;INC;PO BOX 6702;;COLUMBIA ;SC;29260;;;false;system;system;now();now()
295;I000092;FCCI INSURANCE COMPANY;;;;;;;;;false;system;system;now();now()
296;I000093;CHUBB INSURANCE;PO BOX 42065;;PHOENIX;AZ;85080;;;;false;system;system;now();now()
297;59;ANTHEM;;;;;;;;;false;system;system;now();now()
298;61;Blue Cross Blueshield of ;;;;;;;;;false;system;system;now();now()
299;67;Anthem BCBS;;;;;;;;;false;system;system;now();now()
300;68;Health Plans; INC. ;;;;;;;;false;system;system;now();now()
301;75;CIGNA HEALTHCARE;;;;;;;;;false;system;system;now();now()
302;73;BCBS MA;PO BOX 986020;;BOSTON;MA;02298;;;;false;system;system;now();now()
303;I000105;VALUEOPTIONS;P.O. BOX 930321;;WIXOM;MI;48393-032;;;;false;system;system;now();now()
304;;;;;;;;;;;false;system;system;now();now()
305;69;Fake;;;;;;;;;false;system;system;now();now()
306;FFVA;FFVA MUTUAL INS;PO BOX 945927;;MAITLAND;FL;32794;;;;false;system;system;now();now()
307;ZUR00;ZURICH;PO BOX 968084;;Schaumburg;IL;60196;;;;false;system;system;now();now()
308;50;Qual Care ;;;;;;;;;false;system;system;now();now()
309;1009;Horizon BCBSNJ;;;;;;;;;false;system;system;now();now()
310;1053;United Healthcare - Value;;;;;;;;;false;system;system;now();now()
311;993;BlueCross BlueShield ;;;;;;;;;false;system;system;now();now()
312;1003;NYSHIP Empire Plan;;;;;;;;;false;system;system;now();now()
313;81;Nova Independent Health;P.O. Box 408;;Williamsville;NY;14231;;;;false;system;system;now();now()
314;1005;bcbs of horizon of nj;;;;;;;;;false;system;system;now();now()
315;712;Blue Cross Blue Shield Fe;;;;;;;;;false;system;system;now();now()
316;879;care first blue cross blu;;;;;;;;;false;system;system;now();now()
317;PHY00;PHYSICIANS MUTUAL;PO BOX 2018;;OMAHA;NE;68103;;;;false;system;system;now();now()
318;971;Blue Cross Blue Shield of;;;;;;;;;false;system;system;now();now()
319;1072;Federal BCBS ;;;;;;;;;false;system;system;now();now()
320;83;Coventry Health;;;;;;;;;false;system;system;now();now()
321;82;BBSof C PPO;;;;;;;;;false;system;system;now();now()
322;979;APWU;;;;;;;;;false;system;system;now();now()
323;86;Univera Healthcare;PO Box 23000 ;;Rochester;NY;14692;;;;false;system;system;now();now()
324;MOP00;MUTUAL OF OMAHA PLAZA;MUTUAL OF OMAHA PLAZA;INDIVIDUAL CLAIMS;OMAHA;NE;68175;;;;false;system;system;now();now()
325;830;BCBS - Excellus;;;;;;;;;false;system;system;now();now()
326;865;Bluecross BlueShield Hone;;;;;;;;;false;system;system;now();now()
327;1058;hig00 - Highmark Blue Cro;;;;;;;;;false;system;system;now();now()
328;928;EHP Classic ;;;;;;;;;false;system;system;now();now()
329;1078;Blue Cross Blue Shield - ;;;;;;;;;false;system;system;now();now()
330;992;BlueCross BlueShield of F;;;;;;;;;false;system;system;now();now()
331;1015;Anthem BlueCross BlueShei;;;;;;;;;false;system;system;now();now()
332;1037;Capital Blue;Po Box 211457 ;;Eagan ;MN;55121;;;;false;system;system;now();now()
333;1038;BlueCross BluseSheild;;;;;;;;;false;system;system;now();now()
334;1041;Navigator Tufts Health pl;Po Box 9163 ;;watertown;MA;02471;;;;false;system;system;now();now()
335;1051;Anthem Blue Cross Blue Sh;;;;;;;;;false;system;system;now();now()
336;1052;BCBS -NC;;;;;;;;;false;system;system;now();now()
337;1055;BCBS - Federal;;;;;;;;;false;system;system;now();now()
338;1064;Anthem BlueCross BlueShie;;;;;;;;;false;system;system;now();now()
339;1067;bluecross blueshield of s;;;;;;;;;false;system;system;now();now()
340;1074;BLUE CROSS BLUE SHIELD AN;;;;;;;;;false;system;system;now();now()
341;1075;Premera Blue Cross;;;;;;;;;false;system;system;now();now()
342;1090;Horizon BlueCross BlueShi;;;;;;;;;false;system;system;now();now()
343;NAT00;Nationwide;413 1st Avenue North;;Great Falls;MT;59401;;;;false;system;system;now();now()
344;FALSE;FALSE;;;;;;;;;false;system;system;now();now()
345;I000140;Brian;;;;;;;;;false;system;system;now();now()
346;1098;BCBS -Horizon;;;;;;;;;false;system;system;now();now()
347;1101;anthem blue cross;;;;;;;;;false;system;system;now();now()
348;WEL00;WELLMED;PO BOX 400066;;SAN ANTONIO;TX;78229;;;;false;system;system;now();now()
349;1114;St.Lawerance-Lewis County;;;;;;;;;false;system;system;now();now()
350;1115;BlueCross Federal West Vi;;;;;;;;;false;system;system;now();now()
351;1117;HealthSmart;;;;;;;;;false;system;system;now();now()
352;1110;Lehigh Valley Health Netw;;;;;;;;;false;system;system;now();now()
353;STA00;STARMARK TRUSTMARK;PO BOX 2942;;CLINTON;IA;52733;;;;false;system;system;now();now()
354;HIG001;HIGHMARK SENIOR HEALTH COMPANY;120 FIFTH AVENUE;;PITTSBURGH;PA;15222;;;;false;system;system;now();now()
355;104;OPTIUM HEALTH;po box 29077;;hot springs;AR;71903;;;;false;system;system;now();now()
356;1126;Mclaren Health Advantage;PO Box 1511;;Flint;MI;485011511;;;;false;system;system;now();now()
357;INT00;INTEGRAL HEALTHCARE;PO BOX 5477;;HAUPPAGE;NY;11788;;;;false;system;system;now();now()
358;MOLI00;MOLINA HEALTHCARE OF FLORIDA;8300 NW 33rd Street;Suite 400;Doral;FL;33122;;;;false;system;system;now();now()
359;1133;Medical Mutual;;;;;;;;;false;system;system;now();now()
360;I000159;psycare;10200 SUNSET DRIVE;;MIAMI;FL;33173;;;;false;system;system;now();now()
361;I000160;PSYCHCARE; LLC;10200 SUNSET DRIVE;;MIAMI;FL;333173;;;false;system;system;now();now()
362;I000163;Summacare;3644 West Park;;Shaker Hights;OH;44120;;;;false;system;system;now();now()
363;I000166;Health Net;PO BOX 14702;;lexington;KY;40512;;;;false;system;system;now();now()
364;I000167;Blue of California;PO Box 272540;;Chico;Ca;95927;;;;false;system;system;now();now()
365;I000168;Regence Uniform BCBS;PO Box 30271;;Salt Lake;Ut;84130;;;;false;system;system;now();now()
366;I000170;MAINE TRINITY HEALTH INSURANCE;150 MILL STREET;;LEWISTON;MA;04240;;;;false;system;system;now();now()
367;YR000;YORK RISK SERVICES GROUP;PO BOX 183188;CLAIMS DPMT;COLUMBUS;OH;43218;;;;false;system;system;now();now()
368;I000173;Moda;PO Box 40384;;Portland;Or;97240;;;;false;system;system;now();now()
369;I000177;First Health of Texas;3200 Highland Ave;;Downers Grove ;IL;60515;;;;false;system;system;now();now()
370;112;BCBS of IL;;;;;;;;;false;system;system;now();now()
371;I000180;Blue Shield;PO Box 5290;;Bellevue;WA;98015;;;;false;system;system;now();now()
372;I000372;scholarship;scholarship;;scholarship;sc;33417;5555555;;;false;system;system;now();now()
373;I000373;test;1325 haverhill rd n;;west palm beach ;fl;33417;561-616-9000;;;false;system;system;now();now()
374;I000374;BCBS NJ Direct Plus;199 Pomeroy Road;;Parsippany;Ne;07054;18008147427;;;false;system;system;now();now()
375;I000375;UPMC HEALTH PLAN;;;;;;8812510083;;;false;system;system;now();now()
376;I000376;Keystone;;;;;;;;;false;system;system;now();now()
377;I000377;BCBS OF MO;P.O. Box 36550;;Louisville;KY;40233;;;;false;system;system;now();now()
378;I000378;carefirst blueshield;;;;;;;;;false;system;system;now();now()
379;I000379;carefirst blue choice;;;;;;;;;false;system;system;now();now()
380;NCHP00;NIAGRA COUNTY HEALTH PLAN;5467 UPPER MOUNTAIN ROAD;;LOCKPORT;NY;140941899;;;;false;system;system;now();now()
381;I000381;BCBS OF Kansas City;;;;;;;;;false;system;system;now();now()
382;I000382;unitedhealthcare choice plus network;po box 15645;;las Vegas;NV;89114-564;800-777-1840;;;false;system;system;now();now()
383;I000383;BCBS OF TN;;;;;;;;;false;system;system;now();now()
384;I000384;BCBS of CA;;;;;;;;;false;system;system;now();now()
385;I000385;BCBS Value Options;;;;;;;;;false;system;system;now();now()
386;I000386;UniCare Andover Service Center;P.O. box 9016;;Andover ;MA;01810-091;1-800-322-9161;;;false;system;system;now();now()
387;I000387;Universal Healthcare;16421 NW 45th Ave;;;Opa Locka;Fl;33054;7863206171;;false;system;system;now();now()
388;I000388;PHCS SAINT LAWRENCE;P.O BOX 697;;CANSON;NE;13617;3153793000;;;false;system;system;now();now()
389;I000389;BCBS TeamCare;P.O Box 5116;;des plaines;il;;;;;false;system;system;now();now()
390;I000390;UMPC;;;;;;;;;false;system;system;now();now()
391;I000391;APEX HEALTH SOLUTIONS;PO BOX 3630;;AKRON;OH;44309;18007538429;;;false;system;system;now();now()
392;101;BCBS Fed;;;;;;8003332227;;;false;system;system;now();now()
393;102;BCBS Horizon;;;;;;;;;false;system;system;now();now()
394;103;Cigna Behavioral Health;;;;;;18002446224;;;false;system;system;now();now()
395;105;Independence BCBS;;;;;;8006762583;;;false;system;system;now();now()
396;106;Blue Cross Blue Shield High Mark;;;;;;8006762583;;;false;system;system;now();now()
397;107;BCBS of NC;;;;;;8003592422;;;false;system;system;now();now()
398;108;Beacon Health Options;;;;;;8772060070;;;false;system;system;now();now()
399;109;BCBS Empire;;;;;;8005539603;;;false;system;system;now();now()
400;110;BCBS Anthem of CA;;;;;;8664706244;;;false;system;system;now();now()
401;111;Minute Man Insurance;;;;;;8556441776;;;false;system;system;now();now()
402;113;BCBS of MA;;;;;;18004436657;;;false;system;system;now();now()
403;I000403;Teachers Health Trust;PO Box 96238;;Las Vegas;NV;89193;8004414483;;;false;system;system;now();now()
404;I000404;EXCELLUS BCBS;;;;;;8003634658;;;false;system;system;now();now()
405;I000405;Anthem BC CA;;;;;;1-800-274-7767;;;false;system;system;now();now()
406;I000406;BCBS SC;;;;;;1-800-868-1032;;;false;system;system;now();now()
407;I000407;1199 SEU Benefit Plan;;;;;;646-473-9200;;;false;system;system;now();now()
408;I000408;Anthem BCBS Central;;;;;;1-800-676-2583;;;false;system;system;now();now()
409;114;BCBS of CT;;;;;;8558541438;;;false;system;system;now();now()
410;I000410;cigna great west;po box 188061;;chattanooga;tn;37422;866-494-2111;;;false;system;system;now();now()
411;I000411;BCBS of Florida;;;;;;800-727-2227;;;false;system;system;now();now()
412;I000412;MERITAN HEALTH ;PO BOX 27267 ;;MINNEAPOLIS;MN;55427;8009252272;;;false;system;system;now();now()
413;I000413;BCBS OF PR ;PO BOX 363628;;SAN JUAN ;PR;00936;8004968868;;;false;system;system;now();now()
414;I000414;.;;;;;;;;;false;system;system;now();now()
415;I000415;HEALTH NETWORK ;;;;;;;;;false;system;system;now();now()
416;I000416;PREFERRED ONE;;;;;;;;;false;system;system;now();now()
417;I000417;BCBS OF WA ;;;;;;;;;false;system;system;now();now()
418;I000418;BCBS OF OH ;;;;;;;;;false;system;system;now();now()
419;I000419;WELLSENSE;;;;;;;;;false;system;system;now();now()
420;I000420;BCBS OF SC ;;;;;;;;;false;system;system;now();now()
421;I000421;Prevea;;;;;;8772307555;;;false;system;system;now();now()
422;I000422;BCBS/Beacon Health Opt;POBox 1860;;Latham;NY;12110;866-463-2016;;;false;system;system;now();now()
423;I000423;HAVARD PILGRIM PPO;;;;;;;;;false;system;system;now();now()
424;I000424;BCBS OF TX ;;;;;;;;;false;system;system;now();now()
425;I000425;BCBS PPO MI ;;;;;;;;;false;system;system;now();now()
426;I000426;COMMUNITY CARE;;;;;;8778621356;;;false;system;system;now();now()
427;I000427;OXFORD PPO ;;;;;;;;;false;system;system;now();now()
428;I000428;independence bc PA;;;;;;8002752583;;;false;system;system;now();now()
429;I000429;BCBS OF MI ;;;;;;;;;false;system;system;now();now()
430;I000430;EMPIRE BCBS NY ;;;;;;;;;false;system;system;now();now()
431;I000431;HIGHMARK BCBS DE ;;;;;;;;;false;system;system;now();now()
432;I000432;LACKAWANNA COUNTY SCA;;;;;;;;;false;system;system;now();now()
433;I000433;BC NEPA;;;;;;;;;false;system;system;now();now()
434;I000434;HIGHMARK BCBS PA ;;;;;;;;;false;system;system;now();now()
435;I000435;MEDCOST ;PO BOX 25307;;WINSTON SALEM;NC;27114;18007951023;;;false;system;system;now();now()
436;I000436;BCBS OF LA ;;;;;;;;;false;system;system;now();now()
437;I000437;ANTHEM BCBS OF OH ;;;;;;;;;false;system;system;now();now()
438;I000438;access ma;;;;;;8882512224;;;false;system;system;now();now()
439;I000439;Aenta better health MA;;;;;;8882512224;;;false;system;system;now();now()
440;I000440;bcbs fep;;;;;;8005526989;;;false;system;system;now();now()
441;I000441;Common Ground Health;120 bishops way #150;;brookfield;WI;53005;8774508497;;;false;system;system;now();now()
442;I000442;ma ccbh;;;;;;88251224;;;false;system;system;now();now()
443;I000443;HARKEN HEALTH ;;;;;;;;;false;system;system;now();now()
444;I000444;PILGRIM HEALTH ;;;;;;;;;false;system;system;now();now()
445;I000445;BCBS OF GA ;;;;;;;;;false;system;system;now();now()
446;I000446;Rocky Mountain Health Plan;PO Box 10600;;Grand Junction;CO;81502;;;;false;system;system;now();now()
447;I000447;CCBH;;;;;;8882512224;;;false;system;system;now();now()
448;I000448;Geisenger;;;;;;8552271302;;;false;system;system;now();now()
449;I000449;seiu 1199;14645 NW 77th ave #200;;miami lakes;fl;33014;3056233000;;;false;system;system;now();now()
450;I000450;CAPITLA BC pa;;;;;;8004712242;;;false;system;system;now();now()
451;I000451;Anthem BSBC VA;;;;;;800-399-2421;;;false;system;system;now();now()
452;I000452;personal choice;1901 market street;;philadelphia;pa;19103;8006881911;;;false;system;system;now();now()
453;I000453;GEISINGER HEALTH PLAN-MA;;;;;;;;;false;system;system;now();now()
454;I000454;Horizon BCBS NJ;PO Box 1219;;Newark;NJ;07101-121;8006262212;;;false;system;system;now();now()
455;I000455;Blue Cross Blue Shield of Massachusetts;;;;;;8002410803;;;false;system;system;now();now()
456;I000456;CAPITAL BC PA ;;;;;;;;;false;system;system;now();now()
457;I000457;VETERANS AFFAIRS;;;;;;;;;false;system;system;now();now()
458;I000458;OPTUM;;;;;;;;;false;system;system;now();now()
459;I000459;BCBS HORIZON OF NJ ;;;;;;;;;false;system;system;now();now()
460;I000460;BCBS VA FED ;;;;;;;;;false;system;system;now();now()
461;I000461;healthnet;;;;;;8002916911;;;false;system;system;now();now()
462;I000462;BLUE CARE ELECT PREFERRED;;;;;;;;;false;system;system;now();now()
463;I000463;ATAP UNION;;;;;;215-677-8820;;;false;system;system;now();now()
464;I000464;MEDICAL ASSISTANCE;;;;;;888-251-2224;;;false;system;system;now();now()
465;I000465;CAPITOL BC PA;;;;;;866-322-1657;;;false;system;system;now();now()
466;I000466;Health New England;;;;;;;;;false;system;system;now();now()
467;I000467;AMERIHEALTH MA;;;;;;;;;false;system;system;now();now()
468;I000468;BCBS New Directions ;;;;;;;;;false;system;system;now();now()
469;I000469;UNITED HEALTH ONE;;;;;;;;;false;system;system;now();now()
470;I000470;HEALTHYCT;;;;;;;;;false;system;system;now();now()
471;I000471;BCBS  Highmark;;;;;;;;;false;system;system;now();now()
472;I000472;BCBS NY EXCELLUS;P.O. Box 22999;;Rochester;;14692;8004991275;;;false;system;system;now();now()
473;I000473;New York State Insurance Fund;PO Box 1800;;Latham;NY;12110;8777697447;;;false;system;system;now();now()
474;I000474;BCBS OF NE;;;;;;8002552838;;;false;system;system;now();now()
475;I000475;BCBS MN;;;;;;;;;false;system;system;now();now()
476;I000476;SEMINOLE TRIBE OF FLORIDA;;;;;;;;;false;system;system;now();now()
477;116;Meritain Health;;;;;;8009252272;;;false;system;system;now();now()
478;I000478;cofinity claims;28588 northwestern hwy;;southfield;MI;48034;2483577766;;;false;system;system;now();now()
479;I000479;group pension administrators;12770 merit dr #200;;dallas;tx;75251;9722387900;;;false;system;system;now();now()
480;I000480;BCBS/ Value Opt MHSA;Po Box 1290;;Latham;NY;12110;8008102583;;;false;system;system;now();now()
481;I000481;GIC;;;;;;;;;false;system;system;now();now()
482;I000482;INDEPENDENCE PERSONAL CHOICE;;;;;;;;;false;system;system;now();now()
483;I000483;FIRST HEALTH NETWORK ;;;;;;;;;false;system;system;now();now()
484;I000484;BCBS NJ HORIZON ;;;;;;8006262212;;;false;system;system;now();now()
485;I000485;INDEPENDENT HEALTH;;;;;;7166318701;;;false;system;system;now();now()
486;I000486;BCBS OF pa INDEPENDENCE; P.O.Box 890170;;Camp Hill;;17089;18665886967;;;false;system;system;now();now()
487;I000487;ALLEGIANCE;2806 S. Garfield St. P.O. Box 3018;;Missoula;;59806;800-877-1122;;;false;system;system;now();now()
488;I000488;BCBS TX;;;;;;;;;false;system;system;now();now()
489;I000489;Integra Administrative Group;PO Box 730;;Arnold;Md;21012;;;;false;system;system;now();now()
490;I000490;COMPYSCH;;;;;;(312) 595-4000;;;false;system;system;now();now()
491;I000491;IN HEALTH MUTUAL GOLD;;;;;;8005808502;;;false;system;system;now();now()
492;I000492;BLUE CROSS BLUE SHIELD - PRIMIRA;;;;;;;;;false;system;system;now();now()
493;I000493;WELLMARK BCBS;;;;;;;;;false;system;system;now();now()
494;I000494;UBC;PO BOX 730755;;SALT LAKE CITY;UT;84130;8005529951;;;false;system;system;now();now()
495;I000495;BCBS OF PA;;;;;;;;;false;system;system;now();now()
496;I000496;BCBS PPO of IL;;;;;;;;;false;system;system;now();now()
497;I000497;HIGHMARK WEST VIRGINIA;;;;;;8006762583;;;false;system;system;now();now()
498;I000498;UBH OPTUM;;;;;;;;;false;system;system;now();now()
499;I000499;Boon Chapman;PO Box 9201;;Austin;TX;78766;8888603835;;;false;system;system;now();now()
500;I000500;OPTIMA;;;;;;8006488420;;;false;system;system;now();now()
501;I000501;BCBS CAREFIRST;;;;;;8776532818;;;false;system;system;now();now()
502;I000502;BCBS/BEACON;;;;;;;;;false;system;system;now();now()
503;I000503;PENNA (MA);;;;;;8882512224;;;false;system;system;now();now()
504;I000504;hphc insurance company;;;;;;8007084414;;;false;system;system;now();now()
505;I000505;bcbc of al;;;;;;8005176425;;;false;system;system;now();now()
506;I000506;magna care;;;;;;;;;false;system;system;now();now()
507;I000507;BCBS IL;;;;;;;;;false;system;system;now();now()
508;I000508;BCBS INDEPENDENCE;;;;;;;;;false;system;system;now();now()
509;I000509;State of New jersey Health Benefits;18 E Grant Ave;;Rozell park;NJ;07204;;;;false;system;system;now();now()
510;I000510;IPM;;;;;;;;;false;system;system;now();now()
511;I000511;NORTHEAST HEALTH;315 S MANNING BLVD;;ALBANY;NY;12208;5185251111;;;false;system;system;now();now()
512;I000512;Benefit Administrative Systems;PO Box 2920;;Milwaukee;WI;53021;8008771066;;;false;system;system;now();now()
513;I000513;minuteman;;;;;;;;;false;system;system;now();now()
514;I000514;BCBS of weestern New York;;;;;;;;;false;system;system;now();now()
515;I000515;BCBS of western New York;;;;;;;;;false;system;system;now();now()
516;I000516;SISCO;;;;;;8004574726;;;false;system;system;now();now()
517;I000517;BCBS PREMERA WA;;;;;;8773425258;;;false;system;system;now();now()
518;I000518;BCBS ANTHEM OH ;;;;;;8005529159;;;false;system;system;now();now()
519;I000519;Empire Plan;PO Box 1800;;Latham;NY;12110;8777697447;;;false;system;system;now();now()
520;I000520;none ;;;;;;;;;false;system;system;now();now()
521;I000521;Humana/HMO Premier;PO Box 14635;;Lexington ;KY;40512-463;18008336917;;;false;system;system;now();now()
522;I000522;Michael Tinneny;236 Green Valley Rd;;Staten Island ;NY;10312;347-309-9190;;;false;system;system;now();now()
523;I000523;Michael Iacono;24A Jennifer Pl;;Staten Island;NY;10314;347-979-4164;;;false;system;system;now();now()
524;I000524;blue shielf ;36525 mn;;west palm;fl;69586;;;;false;system;system;now();now()
525;I000525;lakawana;;;;;;;;;false;system;system;now();now()
526;I000526;Janell McBean;17 Spirit Ln;;Staten Island;NY;10303;646-464-0341;;;false;system;system;now();now()
527;I000527;ASR Physicians Care;PO Box 6392;;Grand Rapids;MI;49516;6169571751;;;false;system;system;now();now()
528;I000528;UHS;PO BOX 61558;;king of prussia;pa;19406;6107683300;;;false;system;system;now();now()
529;I000529;Florida ;PO Box 1798;;Jacksonville;FL;32231;8003522583;;;false;system;system;now();now()
530;I000530;AFTRA HEALTH;261 MADISON AVE #8;;NEW YORK;NE;10016;212-499-4800;;;false;system;system;now();now()
531;I000531;High Mark BCBS;;;;;;;;;false;system;system;now();now()
532;I000532;COMMUNITY HEALTH OPTIONS;P.O. BOX 1121;;LEEISTON;ME;04243;5612939258;;;false;system;system;now();now()
533;I000533;coventry one PPO;;;london ;ky;;;;;false;system;system;now();now()
534;I000534;BCBS PA INDEPENDENCE;1901 MARKET ST;;PHILADELPHIA;PA;19103;8002752583;;;false;system;system;now();now()
535;I000535;anthem bcbs nv ;;;;;;;;;false;system;system;now();now()
536;I000536;medical college of wisconsin;8701 watertown plank rd;;milwaukee;wi;53226;4149558296;;;false;system;system;now();now()
537;I000537;COVENTRAY HEALTHCARE;PO BOX 7802;;LONDON;KY;40742;8007527242;;;false;system;system;now();now()
538;I000538;NEIGHBORHOOD HEALTH;;;;;;;;;false;system;system;now();now()
539;I000539;capital bcbs;;;;;;8663698362;;;false;system;system;now();now()
540;I000540;POMCO ;;;;;;8005417403;;;false;system;system;now();now()
541;I000541;Cigna Magellan;PO Box 2154;;Maryland Heights;MO;63043;;;;false;system;system;now();now();
542;I000542;waynes county;;;;;;5702536022;;;false;system;system;now();now()
543;I000543;blue benefit;;;;;;18777072583;;;false;system;system;now();now()
544;I000544;FLORDIA BLUE;;;;;;8667305006;;;false;system;system;now();now()
545;I000545;AMERIGROUP OF FL ;;;;;;;;;false;system;system;now();now()
546;I000546;UHC Shared Services;PO Box 30783;;Salt Lake City;UT;84130;;;;false;system;system;now();now()
547;I000547;BCBS Federal ;;;;;;1-800-333-2227;;;false;system;system;now();now()
548;I000548;bcbs of NJ;;;;;;;;;false;system;system;now();now()
549;I000549;BBS ANTHEM OF MS;;;;;;;;;false;system;system;now();now()
550;I000550;CAPITAL DIRECT PHYSICIANS;;;;;;8883209584;;;false;system;system;now();now()
551;I000551;Evante;1111 E Herdon Suite 308;;Fresno;Ca;93720;;;;false;system;system;now();now()
552;I000552;ANTHEM BCBS OF CT;;;;;;;;;false;system;system;now();now()
553;I000553;HORIZON NJ CLAIMS;;;;;;8777654325;;;false;system;system;now();now()
554;I000554;AMERIHEALTH MA LAZERNE;;;;;;8882512224;;;false;system;system;now();now()
555;I000555;AETNA MEDICAL ASSISTANCE (LACKAWNA);;;;;;8882512224;;;false;system;system;now();now()
556;I000556;ACCESS/LACKAWANNA;;;;;;8882512224;;;false;system;system;now();now()
557;828;LOCAL;;;;FL;;8668321229;;;false;system;system;now();now()
